parent,item_code,qty,rate,uom,delivery_date,warehouse
SO-2025-0079,SVC-RETAINER,1,10000,Month,2027-02-01,
SO-2024-0176,SVC-RETAINER,1,10000,Month,2026-05-15,
SO-2024-0231,SVC-RETAINER,1,62466.67,Month,2026-07-01,
SO-2025-0121,SVC-RETAINER,1,10000,Month,2027-03-15,
SO-2025-0148,SVC-RETAINER,1,10000,Month,2027-05-01,
SO-2024-0287,SVC-RETAINER,1,10000,Month,2026-09-01,
SO-2024-0195,SVC-RETAINER,1,5500.0,Month,2026-06-01,
SO-2024-0339,SVC-RETAINER,1,10000,Month,2026-11-15,
SO-2024-0261,SVC-RETAINER,1,15360.0,Month,2026-08-01,
SO-2025-0073,SVC-RETAINER,1,10000,Month,2027-02-01,
SO-2024-0304,SVC-RETAINER,1,10000,Month,2026-10-01,
SO-2025-0041,SVC-RETAINER,1,10000,Month,2027-01-15,
SO-2024-0132,SVC-RETAINER,1,10000,Month,2026-04-01,
SO-2024-0159,SVC-RETAINER,1,10000,Month,2026-04-15,
SO-2024-0233,SVC-RETAINER,1,10000,Month,2026-07-01,
SO-2024-0212,SVC-RETAINER,1,9600.0,Month,2026-06-15,
SO-2024-0256,SVC-RETAINER,1,10000,Month,2026-08-01,
SO-2025-0389,SVC-RETAINER,1,9350.0,Month,2026-12-05,
SO-2024-0296,SVC-RETAINER,1,7250.0,Month,2026-02-14,
SO-2024-0322,SVC-RETAINER,1,10000,Month,2026-11-01,
SO-2025-0088,SVC-RETAINER,1,10000,Month,2027-02-15,
SO-2024-0167,SVC-RETAINER,1,10000,Month,2026-05-01,
SO-2024-0311,SVC-RETAINER,1,10000,Month,2026-10-15,
SO-2025-0417,SVC-RETAINER,1,8500.0,Month,2026-03-31,
SO-2024-0114,SVC-RETAINER,1,15533.33,Month,2026-03-27,
SO-2024-0243,SVC-RETAINER,1,10000,Month,2026-07-15,
SO-2025-0031,SVC-RETAINER,1,10000,Month,2027-01-10,
SO-2024-0269,SVC-RETAINER,1,10000,Month,2026-08-20,
SO-2025-0096,SVC-RETAINER,1,10000,Month,2027-03-01,
SO-2024-0201,SVC-RETAINER,1,10000,Month,2026-06-10,
